,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
19666,Madelyn Arnstein (Earth-616),Public Identity,Good,,Brown,Female,,1.0,1988-08-01,1988.0,marvel
5235,Toad-In-the-Hole (New Earth),Secret Identity,Bad,,,Male,,2.0,1993-04-01,1993.0,dc
2641,Toyboy (New Earth),Public Identity,Bad,,Blond,Male,,8.0,2006-05-01,2006.0,dc
1848,Tolifhar (New Earth),Public Identity,Good,,White,Male,,13.0,2008-01-01,2008.0,dc
16948,Devron (Earth-616),,Neutral,,,,,2.0,2005-12-01,2005.0,marvel
10602,Jake Jensen (Earth-616),Public Identity,Good,,Black,Male,,8.0,1972-05-01,1972.0,marvel
14121,Satorymho (Earth-616),,Neutral,,Red,Male,,3.0,1975-08-01,1975.0,marvel
6846,Bartholomew Higgins (New Earth),,Bad,,,Male,,,1977-06-01,1977.0,dc
4416,Bizarro Wonder Woman (New Earth),Secret Identity,Bad,,Black,Female,,3.0,2007-11-01,2007.0,dc
9181,Preston Hardwick (Earth-616),Secret Identity,Good,,Red,Male,,15.0,1950-11-01,1950.0,marvel
8299,Fury (Horse) (Earth-616),Public Identity,Good,,White,Male,,26.0,1948-03-01,1948.0,marvel
5085,Doll Girl II (New Earth),Secret Identity,Good,,,Female,,2.0,2000-10-01,2000.0,dc
7358,George Washington Bridge (Earth-616),Secret Identity,Good,Brown,White,Male,,91.0,1991-08-01,1991.0,marvel
21072,Mr. Jones (Earth-616),No Dual Identity,Good,,,Male,,1.0,2003-08-01,2003.0,marvel
17776,Le Barbe (Earth-616),Secret Identity,Bad,,Bald,Male,,1.0,1942-05-01,1942.0,marvel
14179,Boulder (Outcasts) (Earth-616),Secret Identity,Bad,,Bald,Male,,3.0,1978-12-01,1978.0,marvel
1394,Jackie Johnson (New Earth),Public Identity,Good,Brown,Black,Male,,19.0,1961-12-01,1961.0,dc
3354,Cottus (New Earth),Public Identity,Bad,Red,,,,6.0,1987-11-01,1987.0,dc
10518,Son (Red Right Hand) (Earth-616),,Bad,Brown,Brown,Male,,9.0,2010-11-01,2010.0,marvel
3287,Wild Huntsman I (New Earth),,Bad,,,Male,,6.0,1994-09-01,1994.0,dc
14985,Jack Vaughn (Earth-616),Public Identity,Bad,Blue,Brown,Male,,3.0,2006-02-01,2006.0,marvel
8663,Elton Morrow (Earth-616),Secret Identity,Good,Blue,No,Male,,20.0,1941-04-01,1941.0,marvel
19555,Park Prowler (Earth-616),Secret Identity,Bad,,Blond,Male,,1.0,1986-11-01,1986.0,marvel
21230,Andrew Mussawyr (Earth-616),,Good,,,Male,,1.0,2006-09-01,2006.0,marvel
10836,Tenebrous (Earth-616),,Bad,,,,,8.0,2006-10-01,2006.0,marvel
6385,Fire Devil (New Earth),,Bad,,,,,1.0,1983-06-01,1983.0,dc
7641,Alexei Kravinoff (Earth-616),Public Identity,Bad,Brown,Black,Male,,50.0,1997-02-01,1997.0,marvel
9441,Nara (Earth-616),,Good,White,Black,Female,,14.0,2013-02-01,2013.0,marvel
1487,Walker Gabriel (New Earth),Secret Identity,Good,Brown,Black,Male,,17.0,1998-03-01,1998.0,dc
5643,Mareena (New Earth),Secret Identity,Good,Blue,Green,Female,,1.0,2010-08-01,2010.0,dc
4028,Mark Meachum (New Earth),Public Identity,Bad,Blue,,Male,,4.0,1998-08-01,1998.0,dc
8828,Adam Brashear (Earth-616),Secret Identity,Good,Brown,Black,Male,,19.0,2009-01-01,2009.0,marvel
22955,Grrix (Earth-616),Public Identity,Bad,Green,No,Male,,,2008-08-01,2008.0,marvel
15039,Abyss (Earth-616),Secret Identity,Bad,,,Male,,3.0,2008-01-01,2008.0,marvel
22605,Tatsu'o (Earth-616),,Bad,,Black,Male,,,1991-02-01,1991.0,marvel
12940,Dorrek (Earth-616),No Dual Identity,Neutral,Green,No,Male,,4.0,1975-03-01,1975.0,marvel
12034,Anthony Baskerville (Earth-616),,Bad,,,Male,,5.0,1965-08-01,1965.0,marvel
2958,Flemgem (New Earth),Secret Identity,Good,,,Male,,7.0,1997-09-01,1997.0,dc
18306,Sensitivo (Andrew) (Earth-616),Secret Identity,Bad,,Brown,Male,,1.0,1946-04-01,1946.0,marvel
13041,Tran Coy Manh (Earth-616),,Bad,,Black,Male,,4.0,1980-12-01,1980.0,marvel
8907,Pixie (First Line) (Earth-616),Secret Identity,Good,Blue,Red,Female,,18.0,2000-03-01,2000.0,marvel
15729,Janet Lyton (Earth-616),,Good,,,Female,,2.0,1975-10-01,1975.0,marvel
17390,Officer Foley (Earth-616),No Dual Identity,Good,,,Male,,1.0,1939-12-01,1939.0,marvel
17023,Setanta (Earth-616),Public Identity,Bad,Brown,Black,Male,,2.0,2006-01-01,2006.0,marvel
2440,Anthony Marchetti (New Earth),Public Identity,Bad,,Black,Male,,9.0,2006-12-01,2006.0,dc
19245,Asmodiar (Earth-616),,Bad,,,Male,,1.0,1980-06-01,1980.0,marvel
17870,Beak (Nazi) (Earth-616),Secret Identity,Bad,,Brown,Male,,1.0,1943-01-01,1943.0,marvel
18132,Raymond Wil (Earth-616),Public Identity,Neutral,,,Male,,1.0,1944-09-01,1944.0,marvel
19584,False Wrecker (Earth-616),Secret Identity,Bad,,,Male,,1.0,1987-01-01,1987.0,marvel
18015,Vance Coburn (Earth-616),Public Identity,Bad,,Black,Male,,1.0,1943-01-01,1943.0,marvel
1237,Rafael Sandoval (New Earth),Secret Identity,Good,Brown,Black,Male,,21.0,1989-08-01,1989.0,dc
22367,Vertigo (Salem's Seven) (Earth-616),Secret Identity,Good,Brown,Black,Female,,,1977-08-01,1977.0,marvel
20433,Mr. Edgerton (Earth-616),Public Identity,Neutral,,Bald,Male,,1.0,1995-07-01,1995.0,marvel
5104,Freight-Train (New Earth),,Good,,Blond,Male,,2.0,1999-07-01,1999.0,dc
17804,Murdock (WWII) (Earth-616),Secret Identity,Bad,,White,Male,,1.0,1942-01-01,1942.0,marvel
21581,Lenny Sirkes (Earth-616),,Bad,Yellow,No,Male,,1.0,2009-06-01,2009.0,marvel
11317,Aradnea (Earth-616),,Bad,,Black,Female,,7.0,2011-08-01,2011.0,marvel
9855,Donna-Lee Dover (Earth-616),,Neutral,,Blond,Female,,11.0,1976-09-01,1976.0,marvel
21244,Charles Yameogo (Earth-616),,Good,,,Male,,1.0,2006-09-01,2006.0,marvel
17726,Frank Portl (Earth-616),Public Identity,Bad,,Brown,Male,,1.0,1942-06-01,1942.0,marvel
9974,Michel de Nostredame (Earth-616),Public Identity,Good,Blue,Grey,Male,,11.0,2010-08-01,2010.0,marvel
15968,Kwan Tai-Fung (Earth-616),Public Identity,Good,,Black,Female,,2.0,1984-07-01,1984.0,marvel
7888,Anne Ghazikhanian (Earth-616),Public Identity,Good,Blue,Black,Female,,38.0,2002-10-01,2002.0,marvel
6722,Mason O'Dare (New Earth),Public Identity,Good,,Red,Male,,,1994-11-01,1994.0,dc
19481,Filene Abdol (Earth-616),Public Identity,Neutral,Blue,Black,Female,,1.0,1985-10-01,1985.0,marvel
10720,Meat Market (Earth-616),Secret Identity,Bad,Red,No,Male,,8.0,1992-08-01,1992.0,marvel
14922,Lefty (Earth-616),Public Identity,Good,Brown,Brown,Female,,3.0,2004-11-01,2004.0,marvel
2301,Carlos (New Earth),Public Identity,Bad,Brown,Black,Male,,10.0,1997-08-01,1997.0,dc
3252,Protex (New Earth),Secret Identity,Bad,,,Male,,6.0,1997-01-01,1997.0,dc
21925,Pukatus Jr. (Legion Personality) (Earth-616),Secret Identity,Neutral,,,Male,,1.0,2013-02-01,2013.0,marvel
11369,Red Warrior (Earth-616),Public Identity,Good,,Black,Male,,6.0,1951-01-01,1951.0,marvel
21203,Patrick Trettel (Earth-616),Secret Identity,Bad,,,Male,,1.0,2005-01-01,2005.0,marvel
10312,Hecate (Earth-616),No Dual Identity,Bad,,Black,Female,,9.0,1977-11-01,1977.0,marvel
3755,Bekka (New Earth),Secret Identity,Neutral,Blue,Black,Female,,5.0,1984-03-01,1984.0,dc
353,Julia Deneiros (New Earth),Public Identity,Good,Blue,Grey,Female,,84.0,1987-04-01,1987.0,dc
9707,Chance (Fallen Angels) (Earth-616),Secret Identity,Good,Black,Black,Female,,12.0,1987-04-01,1987.0,marvel
6197,Priscilla Stryker (New Earth),,Bad,Blue,Blond,Female,,1.0,1991-03-01,1991.0,dc
20784,Barney (Dinosaur) (Earth-616),Secret Identity,Bad,,,Male,,1.0,2000-01-01,2000.0,marvel
11462,Abner Doolittle (Earth-616),Secret Identity,Neutral,,Brown,Male,,6.0,1976-09-01,1976.0,marvel
1002,Michael Christian Amar (New Earth),Secret Identity,Bad,Brown,Grey,Male,,27.0,2001-08-01,2001.0,dc
16501,Vranx (Earth-616),Secret Identity,Bad,Green,No,Male,,2.0,1994-02-01,1994.0,marvel
2062,Mercury (Roman God) (New Earth),Public Identity,Good,,Blond,Male,,12.0,1944-05-01,1944.0,dc
10218,Hl\u00f6kk (Earth-616),Secret Identity,Bad,,,Female,,10.0,2010-09-01,2010.0,marvel
186,Teth-Adam (New Earth),Secret Identity,Neutral,Brown,Black,Male,,152.0,1945-12-01,1945.0,dc
3668,Pathfinder (New Earth),Secret Identity,Bad,,,Male,,5.0,1992-04-01,1992.0,dc
13290,Ray Chandler (Earth-616),Public Identity,Neutral,Green,Red,Male,,4.0,1993-04-01,1993.0,marvel
13182,Ditmal Pirvat (Earth-616),Secret Identity,Neutral,Brown,Black,Male,,4.0,1990-11-01,1990.0,marvel
466,Karen Lou Faulkner (New Earth),Secret Identity,Neutral,Brown,Brown,Female,Homosexual,65.0,1987-07-01,1987.0,dc
12,Barbara Gordon (New Earth),Secret Identity,Good,Blue,Red,Female,,951.0,1967-01-01,1967.0,dc
12716,Jeffrey Fischer (Earth-616),Public Identity,Good,,Black,Male,,5.0,2012-07-01,2012.0,marvel
5727,Nhoj Sappal (New Earth),,Good,,,Male,,1.0,2009-01-01,2009.0,dc
21421,Olivia Cooper (Earth-616),Public Identity,Neutral,,Brown,Female,,1.0,2007-01-01,2007.0,marvel
8798,Meryet Karim (Earth-616),Secret Identity,Neutral,Yellow,Black,Female,,19.0,1990-10-01,1990.0,marvel
18371,Stillface (Earth-616),Secret Identity,Bad,,Brown,Male,,1.0,1947-12-01,1947.0,marvel
17723,Felix von Shlecht (Earth-616),Public Identity,Bad,,White,Male,,1.0,1942-09-01,1942.0,marvel
16763,Gareth Thomas (Earth-616),Secret Identity,Good,,Black,Male,,2.0,2000-12-01,2000.0,marvel
11889,Tatiana Arocha (Earth-616),Public Identity,Good,Brown,Black,Female,,6.0,2007-06-01,2007.0,marvel
16562,Boudica Gorman (Earth-616),Secret Identity,Bad,,Black,Female,,2.0,1996-07-01,1996.0,marvel
2380,Myrra Rhodes (New Earth),Secret Identity,Good,,,Female,,10.0,1980-11-01,1980.0,dc
11042,Voletta Todd (Earth-616),Secret Identity,Neutral,Green,Red,Female,,7.0,1980-06-01,1980.0,marvel
5955,Bobby Gazzo (New Earth),Public Identity,Bad,Brown,Brown,Male,,1.0,1999-12-01,1999.0,dc
22960,Kuhul Ajaw (Earth-616),,Bad,,,Male,,,2008-06-01,2008.0,marvel
11222,Mr. Payback (Earth-616),Secret Identity,Good,Blue,,Male,,7.0,2000-08-01,2000.0,marvel
6301,Jake Tyler (New Earth),Secret Identity,Good,,Blond,Male,,1.0,1988-08-01,1988.0,dc
4976,Uriah (New Earth),Public Identity,Bad,Black,Black,Male,,2.0,2007-02-01,2007.0,dc
22377,Kronak (Earth-616),,Good,,,,,,1978-10-01,1978.0,marvel
12972,Fred Hovel (Earth-616),Secret Identity,Bad,,Black,Male,,4.0,1976-01-01,1976.0,marvel
272,Thomas Tresser (New Earth),Secret Identity,Good,Blue,Blond,Male,,106.0,1980-09-01,1980.0,dc
6003,Rip Roar (New Earth),Public Identity,Bad,Red,Strawberry,Male,,1.0,1998-10-01,1998.0,dc
5878,Sheila Carr (New Earth),Public Identity,Good,,Black,Female,,1.0,2004-08-01,2004.0,dc
18101,Karl Shaffer (Earth-616),Secret Identity,Bad,,Blond,Male,,1.0,1944-12-01,1944.0,marvel
1506,Catalyst (New Earth),,Bad,,Black,Male,,17.0,1987-07-01,1987.0,dc
10803,Jennifer Hardesty (Earth-616),Public Identity,Good,Brown,Black,Female,,8.0,2001-08-01,2001.0,marvel
12232,Alvin Healey (Earth-616),Public Identity,Bad,Green,Brown,Male,,5.0,1986-05-01,1986.0,marvel
1088,Eros (New Earth),Public Identity,Neutral,Blue,Blond,Male,,25.0,1981-04-01,1981.0,dc
18080,Fritz von Arnheim (Earth-616),Secret Identity,Bad,,Black,Male,,1.0,1944-02-01,1944.0,marvel
4231,Argus (New Olympians) (New Earth),Secret Identity,Bad,,,Male,,4.0,1984-10-01,1984.0,dc
1575,Tracer (New Earth),Secret Identity,Bad,Brown,Red,Male,,16.0,1990-06-01,1990.0,dc
1505,Albrecht von Mannheim (New Earth),Secret Identity,Good,,Brown,Male,,17.0,1987-01-01,1987.0,dc
15254,Fume (Daryl) (Earth-616),Secret Identity,Bad,Green,Black,Male,,3.0,,,marvel
20238,Spitfire (Lilin) (Earth-616),Secret Identity,Bad,,,,,1.0,1993-12-01,1993.0,marvel
13027,Watoomb (Earth-616),,Neutral,,No,Male,,4.0,1979-04-01,1979.0,marvel
19802,Zalph (Earth-616),Public Identity,Neutral,,,Male,,1.0,1989-09-01,1989.0,marvel
6853,M'nagalah (New Earth),Secret Identity,Bad,,,Genderless,,,1974-02-01,1974.0,dc
3464,Milton Kroft (New Earth),Secret Identity,Bad,,Brown,Male,,5.0,2010-02-01,2010.0,dc
694,Catalina Flores (New Earth),Secret Identity,Good,Brown,Black,Female,,41.0,2002-09-01,2002.0,dc
14768,Armageddon Man (Earth-616),Secret Identity,Neutral,White,Bald,Male,,3.0,1999-03-01,1999.0,marvel
19225,Hy Torque (Earth-616),,Bad,,,Male,,1.0,1979-02-01,1979.0,marvel
5736,William von Hammer (New Earth),Public Identity,Good,Blue,Blond,Male,,1.0,2009-08-01,2009.0,dc
11431,Moli (Earth-616),,Good,,Black,Male,,6.0,1971-06-01,1971.0,marvel
14657,Warren Curzon (Earth-616),,Good,,Blond,Male,,3.0,1995-11-01,1995.0,marvel
21178,Joe Self (Earth-616),Secret Identity,Bad,,,Male,,1.0,2005-08-01,2005.0,marvel
16214,Crimewave (C.W.) (Earth-616),,Bad,Brown,Brown,Male,,2.0,1991-10-01,1991.0,marvel
21462,David Gonzales (Earth-616),,Good,Brown,White,Male,,1.0,2008-09-01,2008.0,marvel
5818,King of Spades VI (New Earth),,Bad,,,Male,,1.0,2006-01-01,2006.0,dc
3312,Marvin Noronsa (New Earth),Secret Identity,Bad,Brown,Black,Male,,6.0,1990-11-01,1990.0,dc
286,Jade Nguyen (New Earth),Secret Identity,Bad,Green,Black,Female,,103.0,1983-08-01,1983.0,dc
19013,Agathon (Earth-616),,Bad,,,Male,,1.0,1975-01-01,1975.0,marvel
18432,Lenora Moore (Earth-616),Secret Identity,Bad,,Brown,Female,,1.0,1948-04-01,1948.0,marvel
16561,Baal (Sandstormers) (Earth-616),Secret Identity,Neutral,Brown,Bald,Male,,2.0,1996-10-01,1996.0,marvel
13317,Khult (Earth-616),,Bad,Yellow,,Male,,4.0,1994-02-01,1994.0,marvel
10273,Robert Chalmers (Earth-616),No Dual Identity,Bad,Brown,Brown,Male,,9.0,1969-06-01,1969.0,marvel
613,Irene Miller (New Earth),Public Identity,Good,Grey,Black,Female,,47.0,1940-09-01,1940.0,dc
18813,Wazir (Earth-616),Public Identity,Good,,White,Male,,1.0,1967-03-01,1967.0,marvel
14613,Patriarch (Hyboria) (Earth-616),Public Identity,Bad,,,,,3.0,1994-10-01,1994.0,marvel
11674,James Owl (Earth-616),Secret Identity,Good,Brown,Black,Male,,6.0,1993-09-01,1993.0,marvel
12402,Rex (Earth-616),Secret Identity,Bad,Brown,Black,Male,,5.0,1995-08-01,1995.0,marvel
12549,Sofia Corazon (Earth-616),,Good,Brown,Brown,Female,,5.0,2004-08-01,2004.0,marvel
9440,Raizo Kodo (Earth-616),Secret Identity,Good,Red,Black,Male,,14.0,2011-06-01,2011.0,marvel
2890,Cheyenne Freemont (New Earth),Secret Identity,Good,Brown,Red,Female,,7.0,2006-05-01,2006.0,dc
11065,Doctor Dredd (Earth-616),Secret Identity,Bad,,Black,Male,,7.0,1983-01-01,1983.0,marvel
321,Merlin (New Earth),Secret Identity,Neutral,Black,White,Male,,92.0,1936-02-01,1936.0,dc
4417,Blitzkrieg (New Earth),Secret Identity,Bad,Blue,Blond,Female,,3.0,2007-06-01,2007.0,dc
19274,Muck Monster (Earth-616),Secret Identity,Good,,,Male,,1.0,1980-03-01,1980.0,marvel
13183,Emmaline Watanabe (Earth-616),Public Identity,Good,,Black,Female,,4.0,1990-12-01,1990.0,marvel
12070,Monstroid (Ballox) (Earth-616),,Bad,,,Male,,5.0,1972-11-01,1972.0,marvel
7412,Daisy Johnson (Earth-616),Secret Identity,Good,Blue,Black,Female,,75.0,2004-07-01,2004.0,marvel
8322,Leong Coy Manh (Earth-616),Secret Identity,Good,Black,Black,Male,,26.0,1980-12-01,1980.0,marvel
3510,Scivor (New Earth),,Bad,,,,,5.0,2007-08-01,2007.0,dc
16025,Dewlap (Earth-616),,Good,,No,,,2.0,1986-02-01,1986.0,marvel
21650,Cody Twain (Earth-616),Secret Identity,Good,Brown,Brown,Male,,1.0,2010-06-01,2010.0,marvel
10663,Wal Rus (Earth-616),Public Identity,Good,Black,Brown,Male,,8.0,1982-05-01,1982.0,marvel
3669,Repo (New Earth),Secret Identity,Bad,,,Male,,5.0,1992-07-01,1992.0,dc
17191,Bleeding Image (Legion Personality) (Earth-616),Secret Identity,Bad,Brown,Bald,Male,,2.0,2011-07-01,2011.0,marvel
14984,Jack Abrams (Earth-616),Secret Identity,Bad,,Brown,Male,,3.0,2006-02-01,2006.0,marvel
6077,Wallace Johnson (New Earth),,Good,Brown,Black,Male,,1.0,1996-12-01,1996.0,dc
22592,Zreate'th (Earth-616),Secret Identity,Bad,Red,,Male,,,1990-05-01,1990.0,marvel
