,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
156,Oberon (New Earth),Public Identity,,Blue,White,Male,,167.0,1971-04-01,1971.0,dc
168,Uncle Sam (New Earth),Secret Identity,,Blue,White,Male,,162.0,1940-07-01,1940.0,dc
172,Lucas Carr (New Earth),Public Identity,,Blue,Brown,Male,,161.0,1960-03-01,1960.0,dc
201,Solis (New Earth),Secret Identity,,Blue,Strawberry,Male,,138.0,1971-03-01,1971.0,dc
202,Alfred Twidgett (New Earth),Public Identity,,,,Male,,137.0,1942-06-01,1942.0,dc
211,Barbara Ann Minerva (New Earth),Public Identity,,Brown,,Female,,131.0,1987-08-01,1987.0,dc
214,Mick Rory (New Earth),Public Identity,,Blue,,Male,,131.0,1963-11-01,1963.0,dc
231,Richard Occult (New Earth),Secret Identity,,Grey,Black,Male,,125.0,1935-10-01,1935.0,dc
244,Elizabeth Lawrence (New Earth),Secret Identity,,Blue,Blond,Female,,120.0,1942-12-01,1942.0,dc
287,Rip Hunter (New Earth),Secret Identity,,Blue,Blond,Male,,103.0,1959-06-01,1959.0,dc
293,Lawrence Jordan (New Earth),Secret Identity,,Brown,Brown,Male,,100.0,1942-02-01,1942.0,dc
335,David Clinton (New Earth),Secret Identity,,Blue,Black,Male,,88.0,1962-11-01,1962.0,dc
336,Bobo T. Chimpanzee (New Earth),,,Black,Black,Male,,88.0,1952-08-01,1952.0,dc
345,Herakles (New Earth),Public Identity,,Brown,Brown,Male,,86.0,1941-12-01,1941.0,dc
346,Harold Thompson (New Earth),Secret Identity,,Blue,Blond,Male,,86.0,1938-06-01,1938.0,dc
355,Jonathan Law (New Earth),Secret Identity,,Blue,Blond,Male,,84.0,1941-10-01,1941.0,dc
357,Norda Cantrell (New Earth),Secret Identity,,White,Brown,Male,,83.0,1983-09-01,1983.0,dc
386,Jakeem Williams (New Earth),Secret Identity,,Brown,,Male,,79.0,,,dc
395,Joshua Clay (New Earth),Secret Identity,,Brown,Black,Male,,77.0,1977-09-01,1977.0,dc
400,Adrian Chase (New Earth),Public Identity,,Blue,Blond,Male,,76.0,1982-09-01,1982.0,dc
410,Matthew Cable (New Earth),Secret Identity,,,Black,Male,,74.0,1972-11-01,1972.0,dc
414,Ultra-Humanite (New Earth),Secret Identity,,Red,White,Male,,74.0,1939-06-01,1939.0,dc
441,Green Man (New Earth),Public Identity,,Red,,Male,,68.0,1983-05-01,1983.0,dc
445,Isaac Bowin (New Earth),Secret Identity,,Blue,,Male,,68.0,1948-01-01,1948.0,dc
457,Frances Kane (New Earth),Public Identity,,Blue,Purple,Female,,66.0,1982-03-01,1982.0,dc
467,Albert Desmond (New Earth),,,Green,Red,Male,,65.0,1958-04-01,1958.0,dc
490,"Henry Heywood, Sr. (New Earth)",Secret Identity,,Blue,Black,Male,,61.0,1978-03-01,1978.0,dc
497,Chaselon (New Earth),Public Identity,,White,Black,Male,,60.0,1961-12-01,1961.0,dc
505,Paula Brooks (New Earth),Secret Identity,,Green,Black,Female,,59.0,1947-08-01,1947.0,dc
513,Tula (New Earth),Public Identity,,Blue,Brown,Female,,58.0,1967-06-01,1967.0,dc
556,Clifford Baker (New Earth),Public Identity,,Green,Red,Male,,53.0,1988-09-01,1988.0,dc
592,Jeffrey Graves (New Earth),Secret Identity,,,Brown,Male,,49.0,2007-02-01,2007.0,dc
595,Mary Loyd (New Earth),Public Identity,,Green,Black,Female,,49.0,1989-08-01,1989.0,dc
601,Traci Thirteen (New Earth),Public Identity,,Brown,Black,Female,,48.0,2003-02-01,2003.0,dc
603,Aristotle Rodor (New Earth),Public Identity,,Blue,White,Male,,48.0,1987-02-01,1987.0,dc
605,Harold Jordan (New Earth),Secret Identity,,Brown,Brown,Male,,48.0,1978-01-01,1978.0,dc
645,Lara Lor-Van (New Earth),Public Identity,,Blue,Black,Female,,44.0,1986-10-01,1986.0,dc
651,Lisa Snart (New Earth),,,Blue,Blond,Female,,44.0,1977-06-01,1977.0,dc
657,Axel Walker (New Earth),Secret Identity,,Blue,Blond,Male,,43.0,2002-04-01,2002.0,dc
664,Beverly Lewis (New Earth),,,Green,Red,Female,,43.0,1980-05-01,1980.0,dc
668,Emmaline Brady (New Earth),Public Identity,,Brown,Brown,Female,,43.0,1962-12-01,1962.0,dc
685,Appa Ali Apsa (New Earth),Secret Identity,,Blue,White,Male,,42.0,1970-04-01,1970.0,dc
693,Veronica Cale (New Earth),Public Identity,,Blue,Blond,Female,,41.0,2003-11-01,2003.0,dc
697,Dana Winters (New Earth),,,,,Female,,41.0,1994-12-01,1994.0,dc
711,Serling Roquette (New Earth),,,,Blond,Female,,40.0,1998-10-01,1998.0,dc
719,Jenet Klyburn (New Earth),Public Identity,,Blue,Red,Female,,40.0,1976-10-01,1976.0,dc
727,Fang Zhifu (New Earth),Secret Identity,,,,Male,,39.0,2006-06-01,2006.0,dc
729,Faith (New Earth),Secret Identity,,Brown,Brown,Female,,39.0,2002-10-01,2002.0,dc
737,Sydney Happersen (New Earth),Public Identity,,,Black,Male,,39.0,1987-02-01,1987.0,dc
752,Predator (New Earth),,,,,,,38.0,1984-07-01,1984.0,dc
756,Solovar (New Earth),Secret Identity,,,Black,Male,,38.0,1959-05-01,1959.0,dc
809,Myra Connelly (New Earth),Public Identity,,Blue,,Female,,35.0,1987-02-01,1987.0,dc
831,Onyx Adams (New Earth),Public Identity,,Brown,,Female,,34.0,1985-01-01,1985.0,dc
868,Chester Runk (New Earth),Public Identity,,Brown,Black,Male,,32.0,1988-02-01,1988.0,dc
885,Space Cabby (New Earth),Secret Identity,,Brown,Brown,Male,,32.0,1954-09-01,1954.0,dc
903,Gretchen Kelley (New Earth),Public Identity,,,Grey,Female,,31.0,1987-02-01,1987.0,dc
914,Amon Sur (New Earth),Public Identity,,White,,Male,,30.0,2003-06-01,2003.0,dc
937,Blinky Boylan (New Earth),,,,Red,Male,,30.0,1942-06-01,1942.0,dc
939,Noddy Toylan (New Earth),,,,Black,Male,,30.0,1942-06-01,1942.0,dc
940,Winky Moylan (New Earth),,,,Brown,Male,,30.0,1942-06-01,1942.0,dc
958,Denise Howard (New Earth),Public Identity,,,Brown,Female,,29.0,1984-04-01,1984.0,dc
959,Natalia Knight (New Earth),Secret Identity,,Blue,Black,Female,,29.0,1983-08-01,1983.0,dc
965,Medphyll (New Earth),Secret Identity,,Black,,Male,,29.0,1962-03-01,1962.0,dc
1018,Shlagen (New Earth),Public Identity,,Orange,,Male,,27.0,1983-06-01,1983.0,dc
1027,Robert West (New Earth),Public Identity,,Brown,Brown,Male,,27.0,1960-11-01,1960.0,dc
1042,Mrs. McIlvaine (New Earth),,,,Grey,Female,,26.0,1993-02-01,1993.0,dc
1048,Dufus P. Ratchet (New Earth),Secret Identity,,Blue,,Male,,26.0,1984-10-01,1984.0,dc
1051,Silver St. Cloud (New Earth),Public Identity,,Blue,Silver,Female,,26.0,1977-06-01,1977.0,dc
1060,Wonder Boy (Earth-X),,,,Black,Male,,26.0,1940-07-01,1940.0,dc
1074,Baytor (New Earth),Public Identity,,Red,,,,25.0,1994-01-01,1994.0,dc
1082,Jerry McGee (New Earth),Public Identity,,Brown,Black,Male,,25.0,1987-10-01,1987.0,dc
1096,Carlo di Rienzi (New Earth),,,,Black,Male,,25.0,1968-05-01,1968.0,dc
1100,Bonnie King (New Earth),Secret Identity,,Blue,Blond,Female,,25.0,1960-11-01,1960.0,dc
1104,Milagro Reyes (New Earth),Public Identity,,Brown,Black,Female,,24.0,2006-05-01,2006.0,dc
1120,Sarah Olsen (New Earth),,,Green,White,Female,,24.0,1988-03-01,1988.0,dc
1123,Martin Allard (New Earth),,,Brown,Brown,Male,,24.0,1987-03-01,1987.0,dc
1124,Franklin Berkowitz (New Earth),Public Identity,,Brown,Grey,Male,,24.0,1986-11-01,1986.0,dc
1157,Mason Trollbridge (New Earth),,,Brown,Brown,Male,,23.0,1988-08-01,1988.0,dc
1160,Mikhail Gorbachev (New Earth),Public Identity,,Blue,,Male,,23.0,1985-11-01,1985.0,dc
1176,Lawrence Lance (New Earth),Public Identity,,Blue,Blond,Male,,23.0,1948-02-01,1948.0,dc
1195,Bird (New Earth),Secret Identity,,,Blond,Male,,22.0,1993-01-01,1993.0,dc
1221,Jonathan Horne (New Earth),Public Identity,,,Brown,Male,,21.0,2006-10-01,2006.0,dc
1234,Natalia Dzerchenko (New Earth),Public Identity,,Brown,Brown,Female,,21.0,1993-12-01,1993.0,dc
1235,Phantasm II (New Earth),,,,,,,21.0,1992-03-01,1992.0,dc
1236,Keith Robert White (New Earth),Public Identity,,Brown,Black,Male,,21.0,1991-07-01,1991.0,dc
1238,Andre Blanc-Dumont (New Earth),Public Identity,,Green,Brown,Male,,21.0,1988-03-01,1988.0,dc
1250,Vernon Questor (New Earth),,,,Black,Male,,21.0,1981-06-01,1981.0,dc
1257,Marcus of Rome (New Earth),Public Identity,,Blue,Black,Male,,21.0,1955-09-01,1955.0,dc
1297,Margaret Adam (New Earth),,,Blue,Blond,Female,,20.0,1987-03-01,1987.0,dc
1309,Silas Stone (New Earth),Public Identity,,,Black,Male,,20.0,1980-10-01,1980.0,dc
1317,Don Allen (New Earth),,,Blue,Red,Male,,20.0,1968-10-01,1968.0,dc
1328,Yao Fei (New Earth),Secret Identity,,Black,Black,Male,,19.0,2006-06-01,2006.0,dc
1330,Daniel Brickwell (New Earth),Public Identity,,Red,White,Male,,19.0,2004-09-01,2004.0,dc
1331,"Samuel Bradley, Jr. (New Earth)",Public Identity,,Brown,Brown,Male,,19.0,2004-03-01,2004.0,dc
1332,Leslie Anderson (New Earth),Public Identity,,,Brown,Female,,19.0,2003-11-01,2003.0,dc
1356,Bast (New Earth),Secret Identity,,,,Female,,19.0,1991-03-01,1991.0,dc
1360,Carol Simon (New Earth),,,,,Female,,19.0,1989-02-01,1989.0,dc
1361,Carlo Sirianni (New Earth),Public Identity,,Brown,Red,Male,,19.0,1988-03-01,1988.0,dc
1380,Carl Draper (New Earth),,,,,Male,,19.0,1979-01-01,1979.0,dc
1381,Jonathan Drew (New Earth),Secret Identity,,,,Male,,19.0,1976-02-01,1976.0,dc
1384,Dawn Allen (New Earth),,,Blue,Red,Female,,19.0,1968-10-01,1968.0,dc
1421,Amy Beitermann (New Earth),Public Identity,,Black,Black,Female,,18.0,1992-12-01,1992.0,dc
1446,Crystal Frost (New Earth),Public Identity,,Blue,Blue,Female,,18.0,1978-06-01,1978.0,dc
1448,Iris Jacobs (New Earth),Public Identity,,,Red,Female,,18.0,1976-04-01,1976.0,dc
1498,Vari Dzerchenko (New Earth),,,,Brown,Male,,17.0,1993-12-01,1993.0,dc
1508,Randall Adam (New Earth),,,Blue,Brown,Male,,17.0,1987-03-01,1987.0,dc
1531,Klarn Arg (New Earth),Secret Identity,,,,Male,,17.0,1965-06-01,1965.0,dc
1595,Princess Emerald II (New Earth),,,Green,White,Female,,16.0,1983-09-01,1983.0,dc
1605,Lonar (New Earth),Public Identity,,Brown,Black,Male,,16.0,1971-11-01,1971.0,dc
1606,Arthur Reeves (New Earth),Public Identity,,,,Male,,16.0,1970-05-01,1970.0,dc
1620,Simon Valentine (New Earth),Public Identity,,Brown,Brown,Male,,15.0,2009-10-01,2009.0,dc
1632,Sin (New Earth),Secret Identity,,,Black,Female,,15.0,2006-05-01,2006.0,dc
1644,Buzz Cohen (New Earth),Public Identity,,,Black,Male,,15.0,2000-04-01,2000.0,dc
1673,Mary Martin (New Earth),Public Identity,,Black,Black,Female,,15.0,1988-04-01,1988.0,dc
1691,Darryl Frye (New Earth),,,,,Male,,15.0,1980-05-01,1980.0,dc
1700,August Durant (New Earth),Secret Identity,,Brown,Black,Male,,15.0,1968-05-01,1968.0,dc
1714,Cressida (New Earth),,,,,Female,,14.0,2008-07-01,2008.0,dc
1726,Zou Kang (New Earth),Secret Identity,,Brown,Black,Male,,14.0,2006-06-01,2006.0,dc
1741,Kip Kettering (New Earth),Public Identity,,,Red,Male,,14.0,2000-04-01,2000.0,dc
1768,Talon the Falcon (New Earth),,,,,,,14.0,1993-01-01,1993.0,dc
1794,Cheeks (New Earth),,,Blue,Blond,,,14.0,1985-06-01,1985.0,dc
1815,Kit Dawn-Langman (New Earth),Public Identity,,Blue,Blond,Female,,14.0,1968-05-01,1968.0,dc
1816,Lili de Neuve (New Earth),,,,Brown,Female,,14.0,1968-05-01,1968.0,dc
1818,Storm (New Earth),,,,,,,14.0,1967-10-01,1967.0,dc
1856,Valerie Perez (New Earth),Public Identity,,Brown,Black,Female,,13.0,2006-08-01,2006.0,dc
1858,Yang Kei-Ying (New Earth),Public Identity,,Brown,Black,Male,,13.0,2006-06-01,2006.0,dc
1873,Meloni Thawne (New Earth),Public Identity,,Amber,Brown,Female,,13.0,1997-03-01,1997.0,dc
1878,Carl Packard (New Earth),,,,Brown,Male,,13.0,1993-02-01,1993.0,dc
1895,Natalie Gurdin (New Earth),Secret Identity,,Brown,Brown,Female,,13.0,1988-03-01,1988.0,dc
1918,Spawn of Frankenstein (Earth-One),,,Green,Brown,Male,,13.0,1973-02-01,1973.0,dc
1926,Wendi Harris (New Earth),,,,Black,Female,,13.0,1965-06-01,1965.0,dc
1932,Neptune (New Earth),Public Identity,,,,Male,,13.0,1945-09-01,1945.0,dc
1948,Akisha (New Earth),,,,,Female,,12.0,2008-07-01,2008.0,dc
1955,Katarina Armstrong (New Earth),,,Green,Blond,Female,,12.0,2007-01-01,2007.0,dc
1958,Immortal Man in Darkness (New Earth),Secret Identity,,Brown,Black,Male,,12.0,2006-06-01,2006.0,dc
1967,"Isis, Goddess of Fertility (New Earth)",Public Identity,,Brown,Brown,Female,,12.0,2002-01-01,2002.0,dc
1977,Hillary Chang (New Earth),Public Identity,,,,Female,,12.0,1996-02-01,1996.0,dc
2013,Jason (New Earth),,,Brown,Black,Male,,12.0,,1988.0,dc
2025,Brenda Valentine (New Earth),Public Identity,,,Black,Female,,12.0,1986-01-01,1986.0,dc
2042,Terri Kurtzberger (New Earth),,,,Red,Female,,12.0,1983-10-01,1983.0,dc
2048,Anubis (New Earth),Secret Identity,,Black,Black,Male,,12.0,1975-12-01,1975.0,dc
2061,Christopher Ambler (New Earth),Public Identity,,Blue,Red,Male,,12.0,1950-09-01,1950.0,dc
2098,Odalys Valdez (New Earth),,,Brown,Black,Female,,11.0,2001-12-01,2001.0,dc
2110,Ace Atchinson (New Earth),Public Identity,,Green,Blond,Male,,11.0,1998-09-01,1998.0,dc
2166,Gray Man (New Earth),Secret Identity,,Grey,Grey,Male,,11.0,1987-06-01,1987.0,dc
2167,Gregor Gregorovich (New Earth),,,,Brown,Male,,11.0,1987-12-01,1987.0,dc
2171,Guido Garibaldi (New Earth),Public Identity,,Blue,Black,Male,,11.0,1986-01-01,1986.0,dc
2177,Emma (New Earth),Public Identity,,Blue,Brown,Female,,11.0,1985-06-01,1985.0,dc
2182,Zirral (New Earth),Public Identity,,,,Female,,11.0,1985-08-01,1985.0,dc
2198,Jennifer Long (New Earth),Public Identity,,,Brown,Female,,11.0,1982-09-01,1982.0,dc
2239,William Cayce (New Earth),Public Identity,,Brown,Black,Male,,10.0,2009-10-01,2009.0,dc
2260,Michael Lasky (New Earth),Secret Identity,,Blue,Blond,Male,,10.0,2006-08-01,2006.0,dc
2263,Sabina De La Croix (New Earth),Secret Identity,,,White,Female,,10.0,2006-12-01,2006.0,dc
2297,Sheeva (New Earth),Public Identity,,,Blue,Female,,10.0,1998-12-01,1998.0,dc
2328,Clotho (New Earth),Public Identity,,Brown,White,Female,,10.0,1990-08-01,1990.0,dc
2356,Steven Majorski (New Earth),,,,Blond,Male,,10.0,1988-10-01,1988.0,dc
2371,Franklin North (New Earth),Public Identity,,,Brown,Male,,10.0,1985-07-01,1985.0,dc
2394,Ramia (New Earth),,,,Black,Female,,10.0,1966-06-01,1966.0,dc
2396,Black Wolf (New Earth),,,,Black,Male,,10.0,1965-02-01,1965.0,dc
2412,Joseph Morgan (New Earth),Public Identity,,,Black,Male,,10.0,1940-10-01,1940.0,dc
2414,Michael Tree (New Earth),,,,Black,Female,,10.0,,,dc
2437,Azraeuz (New Earth),Secret Identity,,Green,,Male,,9.0,2007-01-01,2007.0,dc
2439,Rachel Dodds (New Earth),,,,Brown,Female,,9.0,2007-12-01,2007.0,dc
2442,Damper (New Earth),Secret Identity,,,Brown,Male,,9.0,2006-06-01,2006.0,dc
2446,Philip Curry (New Earth),Public Identity,,,,Male,,9.0,2006-05-01,2006.0,dc
2479,Nathaniel Kent (New Earth),Public Identity,,,,Male,,9.0,1997-08-01,1997.0,dc
2480,Yoof (New Earth),,,,,Male,,9.0,1997-09-01,1997.0,dc
2485,Dardan (New Earth),Public Identity,,,,Male,,9.0,1995-08-01,1995.0,dc
2515,Arizona (New Earth),,,,Blond,Female,,9.0,1991-03-01,1991.0,dc
2518,Duma (New Earth),,,,,Male,,9.0,1991-03-01,1991.0,dc
2520,Remiel (New Earth),,,,,Male,,9.0,1991-03-01,1991.0,dc
2521,Thessaly (New Earth),Secret Identity,,Green,Brown,Female,,9.0,1991-11-01,1991.0,dc
2536,Rose Walker (New Earth),Public Identity,,Brown,Red,Female,,9.0,1989-11-01,1989.0,dc
2545,Boleslaw Uminski (New Earth),,,,Blond,Male,,9.0,1987-12-01,1987.0,dc
2587,Daphne Dean (New Earth),Public Identity,,,Red,Female,,9.0,1962-02-01,1962.0,dc
2596,"Atlas, Titans of Myth (New Earth)",Public Identity,,,,Male,,9.0,1944-05-01,1944.0,dc
2602,Crusader (New Earth),Secret Identity,,,Brown,Male,,8.0,2010-09-01,2010.0,dc
2607,Djo Zha (New Earth),,,,,Male,,8.0,2009-03-01,2009.0,dc
2610,Jordanna Spence (New Earth),Public Identity,,,Black,Female,,8.0,2009-11-01,2009.0,dc
2618,Maria Amardosa (New Earth),Public Identity,,,Black,Female,,8.0,2008-12-01,2008.0,dc
2624,Lionel Luthor (New Earth),Public Identity,,Green,Brown,Male,,8.0,2007-09-01,2007.0,dc
2625,Rogga (New Earth),Secret Identity,,Blue,,Male,,8.0,2007-01-01,2007.0,dc
2628,Zorrm (New Earth),Secret Identity,,Yellow,,Male,,8.0,2007-01-01,2007.0,dc
2640,Thumper (New Earth),,,,,Male,,8.0,2006-06-01,2006.0,dc
2662,Wesley Sloan (New Earth),,,Blue,Blond,Male,,8.0,2001-12-01,2001.0,dc
2676,Hex (New Earth),,,,Red,Female,,8.0,1998-08-01,1998.0,dc
2686,Jebediah Kent (New Earth),Public Identity,,,Blond,Male,,8.0,1997-08-01,1997.0,dc
2689,Zinnac (New Earth),,,,,Male,,8.0,1997-09-01,1997.0,dc
2694,Pyra (New Earth),Public Identity,,Black,Black,Female,,8.0,1996-09-01,1996.0,dc
2732,Ladon (New Earth),,,,,Male,,8.0,,1991.0,dc
2746,George Yedziniak (New Earth),Public Identity,,,,Male,,8.0,1989-07-01,1989.0,dc
2755,Daniel Crown (New Earth),,,,Blond,Male,,8.0,1988-09-01,1988.0,dc
2770,Connie Noleski (New Earth),,,Blue,Blond,Female,,8.0,,1987.0,dc
2776,Emmett Vale (New Earth),Public Identity,,,Grey,Male,,8.0,1986-10-01,1986.0,dc
2812,Emba (New Earth),,,,Brown,Female,,8.0,1968-05-01,1968.0,dc
2823,Shathan (New Earth),,,,,Male,,8.0,1966-04-01,1966.0,dc
2839,Oom (New Earth),Secret Identity,,Black,Grey,,,8.0,1940-12-01,1940.0,dc
2861,Francisco Gracia (New Earth),Public Identity,,Black,Black,Male,,7.0,2009-11-01,2009.0,dc
2865,Poprocket (New Earth),Secret Identity,,Blue,Pink,Female,,7.0,2009-01-01,2009.0,dc
2879,Rina (New Earth),,,,,Female,,7.0,2008-07-01,2008.0,dc
2887,Vode-M (New Earth),,,Yellow,Brown,Female,,7.0,2007-08-01,2007.0,dc
2914,Aron Abromowitz (New Earth),,,,,Male,,7.0,2004-07-01,2004.0,dc
2923,Leroy (New Earth),,,,,Male,,7.0,2003-02-01,2003.0,dc
2929,Neith (New Earth),,,,,Female,,7.0,2002-01-01,2002.0,dc
2945,Starro the Cat (New Earth),Public Identity,,Green,White,Male,,7.0,1999-04-01,1999.0,dc
2961,Martin Lewis (New Earth),Public Identity,,Brown,Black,Male,,7.0,1997-10-01,1997.0,dc
3005,Delaken (New Earth),Public Identity,,Black,Brown,Male,,7.0,1990-03-01,1990.0,dc
3021,Astra Logue (New Earth),Public Identity,,Blue,Blond,Female,,7.0,1988-08-01,1988.0,dc
3027,Raymond Monde (New Earth),Public Identity,,,White,Male,,7.0,1988-03-01,1988.0,dc
3076,Joseph Toledo (New Earth),Public Identity,,,Blond,Male,,7.0,1977-04-01,1977.0,dc
3092,Morpheus (New Earth),,,Blue,White,Male,,7.0,1963-08-01,1963.0,dc
3119,Euan Grieve (New Earth),Public Identity,,,Black,Male,,6.0,2010-11-01,2010.0,dc
3135,Dal Kir-Ta (New Earth),,,,,Female,,6.0,2009-06-01,2009.0,dc
3137,Gerard Shugel (New Earth),Secret Identity,,Red,White,Male,,6.0,2009-07-01,2009.0,dc
3138,Henry Allen (New Earth),,,,Blond,Male,,6.0,2009-06-01,2009.0,dc
3139,Jeq-Vay (New Earth),,,Blue,Black,Male,,6.0,2009-06-01,2009.0,dc
3144,Sem-Re (New Earth),,,Blue,Blond,Male,,6.0,2009-06-01,2009.0,dc
3156,Mariposa Nichol (New Earth),Public Identity,,,,Female,,6.0,2008-09-01,2008.0,dc
3180,Copernicus the Dog (New Earth),,,,Brown,Female,,6.0,2006-09-01,2006.0,dc
3193,Leviathan Entity (New Earth),,,,,,,6.0,2005-08-01,2005.0,dc
3202,Bernard Dowd (New Earth),Public Identity,,,Blond,Male,,6.0,2004-02-01,2004.0,dc
3203,Curtis Leland (New Earth),,,,,Male,,6.0,2004-02-01,2004.0,dc
3208,John Williamson (New Earth),Public Identity,,,Black,Male,,6.0,2004-10-01,2004.0,dc
3218,Susan Morrison (New Earth),Public Identity,,,Black,Female,,6.0,2002-05-01,2002.0,dc
3231,Pablo Valdez (New Earth),Secret Identity,,Brown,Black,Male,,6.0,2000-08-01,2000.0,dc
3259,Aarden (New Earth),,,,Brown,Male,,6.0,1996-02-01,1996.0,dc
3263,Catwalk (New Earth),Secret Identity,,,Brown,Female,,6.0,1996-09-01,1996.0,dc
3281,Honey (New Earth),Secret Identity,,,Blond,Female,,6.0,1994-01-01,1994.0,dc
3295,Peggy Gardner (New Earth),,,,,Female,,6.0,1993-08-01,1993.0,dc
3303,Echson Krystal (New Earth),Public Identity,,,Brown,Male,,6.0,1991-12-01,1991.0,dc
3307,Tyrn Krystal (New Earth),Public Identity,,,Red,Female,,6.0,1991-12-01,1991.0,dc
3316,Yuga Khan (New Earth),,,,,Male,,6.0,1990-06-01,1990.0,dc
3321,Ethel Cripps (New Earth),,,,,Female,,6.0,1989-01-01,1989.0,dc
3348,Siphon (New Earth),,,,,Male,,6.0,1988-09-01,1988.0,dc
3357,Mister Gilchrist (New Earth),Public Identity,,,White,Male,,6.0,1987-10-01,1987.0,dc
3358,Noelle Avril (New Earth),Secret Identity,,Blue,White,Female,,6.0,1987-12-01,1987.0,dc
3369,Matthew Stein (New Earth),,,Brown,Red,Male,,6.0,1985-12-01,1985.0,dc
3370,Shamus (New Earth),,,,Brown,Male,,6.0,1985-02-01,1985.0,dc
3376,Henry P. Smithers (New Earth),,,,Black,Male,,6.0,1984-08-01,1984.0,dc
3380,Rojek (New Earth),,,,,Male,,6.0,1984-08-01,1984.0,dc
3395,Helen Jordan II (New Earth),,,Blue,Brown,Female,,6.0,1978-10-01,1978.0,dc
3407,Mupo (New Earth),Public Identity,,,Black,Male,,6.0,1969-08-01,1969.0,dc
3409,Daisy (New Earth),,,,,,,6.0,1968-08-01,1968.0,dc
3411,Pol Manning (New Earth),,,,,Male,,6.0,1967-03-01,1967.0,dc
3420,John Wilkes Booth (New Earth),Public Identity,,,Brown,Male,,6.0,1961-07-01,1961.0,dc
3421,Willard Wiggins (New Earth),,,,,Male,,6.0,1960-12-01,1960.0,dc
3427,Malachi Zee (New Earth),,,,,Male,,6.0,1947-06-01,1947.0,dc
3462,Kristen Kramer (New Earth),,,Blue,Red,Female,,5.0,2010-05-01,2010.0,dc
3465,Nora Reid (New Earth),Public Identity,,Blue,Red,Female,,5.0,2010-08-01,2010.0,dc
3494,Bizarro Jimmy Olsen (New Earth),Secret Identity,,Black,Red,Male,,5.0,2007-10-01,2007.0,dc
3508,Perseus Hazard (New Earth),Public Identity,,Brown,,Male,,5.0,2007-08-01,2007.0,dc
3515,Corky Charles (New Earth),Public Identity,,,White,Male,,5.0,2006-05-01,2006.0,dc
3520,"Head, of the Waiting (New Earth)",Secret Identity,,Green,,Male,,5.0,2006-08-01,2006.0,dc
3556,Claire Foster (New Earth),Public Identity,,,Black,Female,,5.0,2002-01-01,2002.0,dc
3558,Jeremy Barlow (New Earth),Public Identity,,,Black,Male,,5.0,2002-05-01,2002.0,dc
3573,Agamemno (New Earth),Secret Identity,,White,,Male,,5.0,2000-07-01,2000.0,dc
3592,Vartox (New Earth),,,Brown,Brown,Male,,5.0,1999-09-01,1999.0,dc
3617,Spought (New Earth),,,,Grey,Male,,5.0,1996-07-01,1996.0,dc
3631,Doctor Hutcheson (New Earth),,,,Brown,Male,,5.0,1994-02-01,1994.0,dc
3635,Jessica Jordan (New Earth),,,,Brown,Female,,5.0,1994-01-01,1994.0,dc
3648,Word (New Earth),,,,,,,5.0,1994-10-01,1994.0,dc
